review_id,text
27,"Điện thoại iPhone 17 Pro Max 256GB - Trên web để tặng phiếu mua hàng loa tai nghe trị giá 500k vậy mà ra nhân viên báo phải mua hoá đơn trên 3tr mới sử dụng được , từ đầu sao ko để trên web rõ ràng đi làm ăn lom com"
28,"Điện thoại iPhone 17 Pro Max 256GB - Mua ở tgdd chủ yếu vì tin tưởng thương hiệu, uy tín, chính hãng, lười tìm hiểu nên mua sự yên tâm ở đây, giá bán đúng niêm yết ko bia kèm lạc, từ lúc đập hộp ra dùng đến bây giờ khá ok, máy mượt, rất tốt"
29,"Điện thoại iPhone 17 Pro 256GB - ZPA bao gồm cả Việt Nam rồi, mấy bố cứ đòi VNA Apple nó bỏ VNA lâu rồi"
30,Điện thoại iPhone 17 Pro 256GB - Mua máy sao lại không phải VNA mà lại là ZPA. Khá nhiều lần mua ở tgdd rồi nên tin tưởng không kiểm tra. Mua hồi chiều xong tối về cài lại máy mới thấy. Mà khi mua cũng không thấy nhân viên bên cửa hàng báo gì luôn
31,"Điện thoại iPhone 17 Pro 256GB - có vẻ bên tgdd không thích những người thu cũ đổi mới hay sao ấy , năm ngoái đi đổi hỏi chán chê máy mới đc mời ngồi như kiểu mình không đổi thì sợ nó bẩn hay hỏng ghế ấy , năm nay thì không đc mời ngồi luôn đứng chán chê xong không thống nhất được giá cả thế là về luôn , mình đi nhiều cửa hàng tgdd rồi có đúng cái cửa hàng gần nhà như này đây không phải nhân viên tgdd tôi thấy nhiều năm qua"
32,Điện thoại iPhone 17 Pro 256GB - Nhân viên nhiệt tình quá
33,Điện thoại iPhone 17 Pro 256GB - Máy ổn. Mà nhân viên tệ mình bị quên mật khẩu nhờ của hàng hổ trợ. lên nhân viên ko thèm coi kỹ đứng luôn ngoài cửa bảo phải đem lên hãng 1015 ngày. Không nhiệt tình như lúc mua tức quá cầm về luôn. trong khi máy mới lấy 2 ngày trước chưa sạc luôn. Ghét quá đem qua nhờ bên fpt họ kêu mua bên tgdd mà họ ko hỗ trợ anh hả thôi để em lại cho xin cái imei của máy cái chạy lại 1 tiếng là xong. còn nhiệt tình hỗ trợ nữa. Chắc lần cuối mua ở tgdd
34,"Điện thoại iPhone 17 Pro 256GB - Không phải hàng VNA. Tuy máy chạy mượt nhưng hơi thất vọng. Nhân viên tư vấn không rõ, tin tưởng Thegioididong nên không để ý đay là hàng ZPA"
35,"Điện thoại iPhone 17 Pro 256GB - Sản phẩm pro năm ny mượt, pin tốtCó đều cầm nắm chưa thật sự thoả máiNhưng nói chung đây là sp tốt"
36,"Điện thoại iPhone 17 Pro 256GB - Anh chị quản lý chu đáo, anh Vỹ chi nhánh tgdđ Hai Bà Trưng tư vấn nhiệt tình dễ thương, sẽ ủng hộ tiếp cho những lần tới, em cảm ơn anh chị rất nhiều."
37,Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Dùng từ đời 11T Pro cho tới 15T Pro cảm thấy không hề hối hận chất lượng quá tốt
38,"Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Mua đúng 1 tháng, thừa nhận máy dùng ổn định, cam đẹp, pin không trâu lắm nhưng thừa sức đáp ứng 1 ngày dài làm việc nhiều, nhân viên tư vấn nhiệt tình....nói chung là rất OK."
39,"Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Sài sướng thật,năm ngoái xài Xiaomi 14t pro .năm nay lên đời vẫn sướng."
40,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy ngon, mượt. Lần đầu dùng xiaomi không nghĩ máy được như vậy. Hy vọng máy bền xài được 4 hay 5 năm"
41,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy quá tốt tôi đang dùng Ss qua mà máy dùng rất là hay nhân viên hỗ trợ nhiệt tình sẽ ủng hộ sau này
42,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy mới mua 2 ngày mà tuột pin quá.
43,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy sài ổn... nhưng lúc sạc đt cục sạc bị nóng lên vậy...
44,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy để qua đêm sao tuột tầm 15% pin
45,Điện thoại Xiaomi 15T 5G 12GB/256GB - Tôi đứng hon 1 tháng rồi. Nhìn chung là máy rất ổn. Tuy nhiên tôi nhận thấy mấy bát wifi và phát wifi hoi kem. Tình năng điều khiển mi không sử dụng đc.
46,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Mẹ ơi đúng ngon luôn,hàng xiaomi mà trên 10 củ nó vẫn là cái gì đó quá đẳng cấp"
47,Điện thoại Xiaomi 15T 5G 12GB/256GB - Đt sài rất tốt mạnh mượt
48,Điện thoại Xiaomi 15T 5G 12GB/256GB - Quá Vip.chơi game bao ko nóng máy luôn....ngon
49,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Pin tụt nhanh, loa rè."
50,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy mượt lắm nha mọi người,ok luôn"
51,Điện thoại Tecno Spark Go 2 3GB/64GB - Mấy rẻ hơn so vs cau hình hãng khác mới dùng cũng thấy rất ok
52,"Điện thoại Tecno Spark Go 2 3GB/64GB - Khi sạc pin có đèn màu trắng phía trên bên phải, có cach nào tắt đèn này ko vậy"
53,Điện thoại Tecno Spark Go 2 3GB/64GB - Vừa mua mà hao pin quá
54,"Điện thoại Tecno Spark Go 2 3GB/64GB - Mình mua giá 1791k, giả rẻ mà màn hình đẹp. Loa kép,to rõ hay. Sạc 10W nhưng 2 tiếng là đầy, cầm nắm thoải mái, thiết kế đẹp. Hộp đủ phụ kiện, đặc biệt ốp lưng rất tốt. Game thì tốc chiến 40fps, giao tranh lag nhẹ, chơi 4 tiếng còn 30% pin. Mạng 4G nhanh, Wifi tốt. 9/10 điểm"
55,"Điện thoại Tecno Spark Go 2 3GB/64GB - Đt thiết kế đẹp, mỏng, pin trâu nhưng mà mạng chập chờn nhiều và lỗi vặt nhiều. Với phân khúc giá rẻ chỉ có 2tr như này thì cũng tạm ổn rồi không đòi hỏi được gì hơn"
56,"Điện thoại iPhone 16 Pro Max 256GB - Gần tới ngày trả kết quả thẩm định máy lỗi 27/11mình thấy lâu mình hay hỏi mà cứ hẹn tới hẹn lui mãi, ngày này hôm kia hôm nọ. Xong hôm nay hỏi tiếp thì bên bộ phận bảo hành kêu chờ thêm 710 ngày nữa mới có kết quả. Ủa hẹn tới lui mãi gần tới ngày nhận kết quả luôn, xong giờ hẹn 710 ngày nữa ai chịu Vấn đề kẹt nhiều máy thẩm định ko kịp gì gì đó thì đó là chuyện của tgdd, tui không quan tâm. Máy tui mua trả tiền thẳng sòng phẳng đàng hoàng, máy hơn 30trieu xài dc mấy ngày phát hiện lỗi đem đi thẩm định thời gian 15 ngày là đã thấy không vui tí nào rồi. Cũg ráng chờ dữ lắm rồi đó. Gio hẹn thêm như vậy là quá 15 ngày thẩm định rồi. Tui không chờ được nữa đâu nhe. Phải giải quyết liền cho tui. hoàn tiền ngay lập tức."
57,"Điện thoại iPhone 16 Pro Max 256GB - Mua ngày 25/10 thì phải. Máy mới, mà bàn phím lâu lâu thì giật giật. Có khi bấm không được luôn phải tắt nguồn lại mới được. Vào album ảnh thì chậm bấm vài ảnh xem đợi vài giây nó lại nhảy qua ảnh khác. Gần 31tr chứ k rẻ. Đề nghị kiểm tra, Dù đã đọc bình luận nhiều người đánh giá nhưng dùng iphone quen nên vẫn mua mà chán 13prm cũ dùng 4 năm còn mượt hơn."
58,Điện thoại iPhone 16 Pro Max 256GB - Xài xịn khỏi chê luôn. Siêu thị 01 Cộng Hòa nhân viên dễ thương cực
59,Điện thoại iPhone 16 Pro Max 256GB - Nhân viên tư vấn nhiệt tìnhGần qua 1 năm rồi giá iphone 16pm vẫn mức duy trìMáy mạnh tuyệt
60,Điện thoại iPhone 16 Pro Max 256GB - Tôi có mua điện thoại iPhone 16promax tại thế giới di động hồi tháng 2 dùng được vài ngày thì bị lỗi panicfull +resetcuonter mang qua thì nhân viên kiểm tra xác nhận đúng lỗi đổi luôn cho máy khác và nói lên mua thêm gói bảo hành 1 đổi 1 trong vòng 1 năm bất cứ khi nào lỗi mang qua thì được đổi máy vậy mà hôm 5/11 tôi đang dùng có bị reset lại máy vào phân tích thì có lỗi panicfull + resetcounter có 2 nhân viên cửa hàng 1 người bảo đổi 1 người kêu gửi về hãng trong khi lỗi hiện rõ trên máy chả hiểu kiểu gì
61,Điện thoại iPhone 16 Pro Max 256GB - Mình mới mua hôm 19/10 điện thoại để qua đêm không sử dụng vẫn tụt mất 8% phin
62,"Điện thoại iPhone 16 Pro Max 256GB - Mua được cái điện thoại được tặng 3 phiếu mua hàng trị giá khoảng một triệu. Nhưng không dành cho cục sạc hay miếng dán, ốp lưng. Chọc điên tôi à."
63,"Điện thoại iPhone 16 Pro Max 256GB - Mới mua 4 tháng, muốn bán lên 17"
64,Điện thoại iPhone 16 Pro Max 256GB - mình đã mua đc 6 tháng h muốn bán để lên iphone 17 mong đc hỗ trợ
65,Điện thoại iPhone 16 Pro Max 256GB - Dịch vụ sữa chữa và bảo hành của apple quá tệ.
66,Điện thoại iPhone 16 Pro Max 256GB - Mình mới mua ip16prm 256g tháng 10 sạc 13 lần vẫn nguyên hộp bên mình có thu cũ đổi lên đời 17prm ko ah
67,"Điện thoại iPhone 16 Pro Max 256GB - quá tệ điện thoại lỗi đem ra đổi mà check thì bảo ko bị gì,ko muốn đổi cho khách hàng,thua xa dòng 11"
68,"Điện thoại iPhone 16 Pro Max 256GB - Rất tệ cách bảo hành của 1 siêu thị lớn, lề là lề mề, công bố chính sách bảo hành ko quá 15 ngày, nhưng rồi vẫn vượt quá số ngày cam kết, cầm tờ giấy hẹn đến cửa hàng nhưng cũng chỉ nhận đc những lời đùn đẩy đủ lí do, Tôi cần đc gặp nhân sự có quyền hạn giải quyết việc này cho tôi, thực sự bực bội"
69,Điện thoại iPhone 16 Pro Max 256GB - Loa ngoài có vấn đề.lúc to lúc nhỏ.tgdd có kiểm tra cho mình ko.nhất là âm chụp màn hình.lúc to nghe rất rát.
70,"Điện thoại iPhone 16 Pro Max 256GB - Cho mình hỏi máy mình mua dùng đc 1 tháng , có dấu hiệu , máy đen nhưng có vài nốt chấm màu trắg lsao ạ"
71,"Điện thoại iPhone 16 Pro Max 256GB - Mỗi lần đến địa đểm mới, Máy cập nhật wifi chậm, lâu vào được mạng"
72,Điện thoại iPhone 16 Pro Max 256GB - Mình mới mua hôm 5/7/2025 sạc 58 lần pin 100% không trầy xước mới nguyên vỏ hộp còn nguyên tại thế giới di động giờ muốn bán lại đổi lên 17pro max 256G shop thu lại giá sao ạ
73,Điện thoại iPhone 16 Pro Max 256GB - Tôi mới mua 16 pro max màu đen 3 ngày trước giờ muốn đổi lại màu titan sa mạc bù bao nhiêu
74,Điện thoại iPhone 16 Pro Max 256GB - Máy bị lỗi gửi bh ngày 13/9đến 25/9 phản hồi hãng nhận máy đợi thêm 610 ngày nữa để ktra. Rồi ban đầu báo 15 ngày có máy đến hôm nay vẫn chưa giải quyết và hẹn tiếp mình đâu dư tiền để mua máy xong gửi bh hơn 1 tháng và không biết máy sẽ xử lí ntn làm ăn rất rất lè mề. Rồi sau đến 610 rồi hẹn tiếp thì còn gì là cái đt nữa chưa thấy bh mà gần 1 tháng. Bực bội hết sức. Cảm thấy không xử lí đc thì trả máy về để bên đmx họ xử lí ntn
75,"Điện thoại iPhone 16 Pro Max 256GB - Máy mới mua gần dduowjc 1 tháng, mà dùng lướt bình thường bắt wifi mà nhanh tụt quá. Sáng đầy mà dùng chưa đến 1 ngày đã hết pin"
76,"Điện thoại iPhone 16 128GB - Mua góp tiền thì thu rồi mà đợi xuất hàng gần 15p khó hiểu,mua ngày 28 về xem lại thì ngày kích hoạt máy là 27"
77,"Điện thoại iPhone 16 128GB - Xin chào Xin cho hỏi Tôi mới mua iPhone 16 128G, đang dùng sang tháng thứ 2. Giờ muốn mua iPhone 17 256G thì nên chọn hình thức đổi trả hay thu cũ đổi mới để có giá trị cao hơn"
78,"Điện thoại iPhone 16 128GB - Cho mình hỏi mình mua con iPhone 16 từ tháng 3/2025 giờ nó bị liệt nút tác vụ chụp ảnh thì có được bảo hành không và mang ra đâu ạ, mình ở hà nội"
79,"Điện thoại iPhone 16 128GB - Máy mua mới dùng đc 1 tháng thì bị lỗi loa trong khi không rơi vỡ vào nước hay cấn móp gì, máy có mua kèm gói bảo hành 1 đổi 1 trong vòng 11 tháng củ cửa hàng, mang lên cái ttbh ủy quyền thậm đỉnh để đổi máy thì lại bị báo từ chối bảo hành và bắt phải bỏ tiền ra thay thế, xong ngâm máy của tôi hơn 2 tháng, tới khi thỏa thuận chấp nhận sửa máy thì lại bắt chờ 3 tuần liền. Tiền mất, tật mang, máy thì không có dùng, công việc thì ngưng trệ. Thất vọng toàn tập."
80,Điện thoại iPhone 16 128GB - Mua được 6 tháng máy tử reset lại rồi đơ k lên . Gửi bảo hành thì kêu báo phải thay kính camera 5.8tr mới bảo hành Cho . ngang nhau lừa dân
81,Điện thoại iPhone 16 128GB - không có hoá đơn mua hàng điện tử
82,Điện thoại iPhone 16 128GB - Tôi từng mua hàng của TGDD cũng là khách hàng thân thiết mà giờ TGDD gap sự cố thì phủi bỏ trách nhiệm ko bảo hành và thực hiện như trước
83,Điện thoại iPhone 16 128GB - Mình mua ngày 24 tháng 7 đến này dùng thấy ok. nhân viên hỗ trợ nhiệt tình
84,"Điện thoại iPhone 16 128GB - Máy lỗi sóng như máy lock, bắt wifi kém .. Chơi game nhẹ feefine nếu không sài wifi chỉ sài mạnh còn Thua cả máy samsung 5tr"
85,Điện thoại iPhone 16 128GB - Tôi mua iphone 16 128 gb mới vào ngày 762025 đáng ra được bảo hành 1 năm nhưng khi kiểm tra mục bảo hành của điện thoại thì chỉ còn 10 tháng .....
86,"Điện thoại iPhone 16 128GB - Thất vọng iPhone 16 Minh mua về chua dùng ngay , sau 1 tháng 5 ngay bỏ ra kích hoạt dùng thì máy treo trắng màn hình không đang nhập được, phải mang đi hãng bảo hành, ko được đổi mới."
87,Điện thoại iPhone 16 128GB - Mua máy từ ngày 20/4 nhưng giờ mới có thời gian đánh giá mình mua máy ở tgdđ phan đăng lưu lúc mua thì nv nhiệt tình quẹt thẻ tư vấn lẹ làng lắm đến khi dán màn thì ối dồi ôi ko biết bạn nv dán kiểu gì mà chân sạc đầy cồn mình tính kk lấy rồi nhưng bạn qly bảo cồn bay hơi nhanh với lại máy này kháng nc nên mình mới lấy gặp người kỹ tính họ ko lấy đâu lần sau bạn nv làm việc chuyên nghiệp lên nhé máy khách mua gần 20tr ko rẻ đâu
88,"Điện thoại iPhone 16 128GB - Hiện đang bị lỗi nhắn tin bị đơ 3s mới nổi lên , cảm thấy không được hài lòng cho lắm máy chỉ mới xử dụng 2 ngày"
89,Điện thoại iPhone 16 128GB - Dt mới mua pin sạc 100% để chế độ may bay .sáng tut còn 96% . cảm thấy pin ko ổn rồi
90,Điện thoại iPhone 16 128GB - Mới mua tại TGDD. NV nhiệt tình. Nhưng máy chán. Mới mà xạc đã bị nóng máy. Sim gọi k được toàn báo lỗi không xđ. Có ai bị giống Th của tui hok.
91,Điện thoại iPhone 16 128GB - Máy tệ. Camera bị treo thường xuyên. Mang tới cữa hàng nhân viên bảo bị lỗi phần mềm chờ cập nhật lên ios là hết. Đem về cập nhật lên ios mới nhất vẫn bị. Bây giờ mà trả được là trả ngay và liện. Rất chi là bực.
92,Điện thoại iPhone 16 128GB - Mới mua về loa bị ồm như bịt loa.sạc nóng đt nóng cục sạc.mang ra TGDD nhân viên nói bình thường.nếu vậy họ ta mang ra làm gì cho mất công mất việc.Thà mua điện thoại rẻ tiền cho đỡ tiếc.từ bỏ iPhone 16 ra tên sang nhưng rất tệ
93,Điện thoại iPhone 16 128GB - Mất sóng liên tục
94,Điện thoại iPhone 16 128GB - Chị mua iPhone 16 128g ngày 5/2/2025Sao trong phần bảo hành lại thấy là gói bảo hành đã hết hạn
95,Điện thoại iPhone 16 128GB - 18/1/2025 tôi có mua trả góp iphone 16 128GB tại 813ĐMMNANTHO 116 kim tân tại thái hòaMà số hợp đồng trả góp tôi nhập vào Momo để trả thì hệ thống báo là số hợp đồng không đúng. Tôi cần được hỗ trợ
96,Điện thoại Samsung Galaxy A07 4GB/64GB - Mình xem máy trên web và có mã giảm giá 10% đến lúc qua siêu thị đường hãi thượng lãng ông hỏi áp dụng giảm giá y như web phải không thì 2 bạn nhân viên nói đúng rồi. Nhưng khi thanh toán mình đưa mã giảm ra thì nói mã chỉ áp dụng online trên web không áp dụng mua trực tiếp
97,"Điện thoại Samsung Galaxy A07 4GB/64GB - Máy dùng tốt trong tầm giá, nhưng tìm máy tím khó. Phải đi mấy cửa hàng mới có"
98,Điện thoại Samsung Galaxy A07 4GB/64GB - Tốt máy đẹp
99,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - 1. Mới mua hôm qua. Chạy cập nhật phần mềm mà máy nóng lắm. Pin sụt từ 100% xuống 95% trong vòng có 2 phút. Không biết máy có vấn đề gì không
100,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Cảm giác rất vip.Mượt không tí gợnĐúng la max của đỉnh.Màn hình đẹp.Zoom xa hơi vỡ tí.
101,"Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - mình thích con này được cái màn hình to 6.9 inch.nghe nhạc, xem video tuyệt vời luôn. có hỗ trợ sạc không dây..."
102,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Máy tốt nhưng chụo hình selfie quá xấu. mất thời gian dùng app để chỉnh sửa lại. Nên góp ý cho Samsung chỉnh lại điểm này nếu không sẽ thua những hãng khác về chụp ảnh selfie mặt trước màn hình
103,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Cho em hỏi điện thoại Samsung S25 ultra em mua vào hồi tháng 3 vừa rồi. Nay em lắc điện thoại có hiện tượng kêu cặch cặch là sao vậy ạ. Em có mở cam lên tiếng hành lắc rồi mà nó cũng kêu ạ. Mong shop giải đáp giúp em với ạ. Em xin cảm ơn
104,"Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Điện thoại rất đẹp,samsung cao cấp dùng sướng khỏi nói nhân viên nhiệt tình"
105,"Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Máy không tương thích vs ngân hàng msb ra kêu thì báo máy bình thường kêu do app msb nhưng các hãng khác vẫn dùng bình thường , mua phí tiền"
106,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Khung viền titan mau tróc sơn. Mới xài 12 ngày. Chưa gì mà trầy tè le. Tệ còn hơn tệ
107,"Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Mới mua, máy nóng giật màn hình. Cửa hàng đem đi bảo hành. Hẹn nửa tháng. Tại sao không kiểm tra và đổi sản phẩm. Mà phải bảo hành"
108,"Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Cảm ứng vân tay hơi tệ , lúc ăn lúc ko , ko biết phải máy hư ko"
109,"Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Mình cần bán lại, 256g , màu đen mới mua ngày 22/4, mình dx tặng cái mới nên dư cần bán  xxxx716808"
110,"Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Máy đẹp, chạy mượt, rất ưng"
111,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Giá quá cao
112,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Máy quá tuyệt. Màn hình rất đẹp. pin trâu
113,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - chị nhân viên cute vãi ò 3
114,"Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Máy dùng ổn, mua thu cũ đổi mới được giá tốt, nv đmx hỗ trợ nhiệt tình"
115,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Sp quá ok của nhà samsumg
116,"Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Đã trải nghiệm đc mấy tuần, cũng không quá suất sắc như báo chí hay mấy ông review ca tụng, tầm giá này thì con nào cũng ngon tương đương nhau"
117,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - Mua đặt gạch trước cũng ko được ưu đãi hơn là mua từ bây giờ
118,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB - sản phẩm quá đỉnh
119,Điện thoại OPPO A6 Pro 8GB/128GB - Ok á
120,Điện thoại OPPO A6 Pro 8GB/128GB - Mình mua chưa đc 1 tháng tối ngủ pin còn 90 mà sáng dậy cầm vào điện thoại rất nóng vad hết sạch pin kB bên tgdd bảo hành như nào dùng sợ nổ
121,Điện thoại OPPO A6 Pro 8GB/128GB - Chưa được 1 tháng mà sao đôi khi màn hình trắng cần bảo hành
122,Điện thoại OPPO A6 Pro 8GB/128GB - Mua sử dụng chưa được 1 tháng mà máy lướt nhiều lúc không đi vô messenger thì nó cứ quay vòng vòng hoài k load được mấy tin nhắn cũ. Lúc mua ở thế giới di động thì hộp đã được khu sẵn rồi
123,Điện thoại HONOR 400 Lite 12GB/256GB - xài gần 4 tháng gam12g mà chạy rất chậm còn hay bị đơ giựt lal nua cảm thấy thất vọng khi mua mới gần 9tr
124,"Điện thoại HONOR 400 Lite 12GB/256GB - Đề nghị shop bỏ thông tin hồng ngoại trên máy này, vì máy này k có chức năng đó"
125,Điện thoại HONOR 400 Lite 12GB/256GB - Tại sao máy không có kết nối hồng ngoại mà trên web lại ghi là có... Lừa dối khách hàng à
126,"Điện thoại HONOR 400 Lite 12GB/256GB - Máy cái gì cũng được , nhưng hay sung đột hệ thống đứng máy tầm 15 hoặc 20 phút mới mở hoặc khởi đông máy được dù đã đổi 2 lần"
127,"Điện thoại HONOR 400 Lite 12GB/256GB - máy dùng ban đầu ổn. Nhưng dùng đc tầm 1 tuần là bắt đẩu xảy ra vấn đề.Máy 1 đổi Lý do bị ten đầu sạc, sạc vô lâu đầy, nó mủi khétMáy thứ 2 đổi lý do bị cong thân mặc dù ko trầy xước ko vỡ. Gửi về hãng thì hãng báo bị cong nặng ko hỗ trợ. Nhưng nếu cong do người dùng sử dụng thì đã bị vợ trầy xước rồi."
128,"Điện thoại HONOR 400 Lite 12GB/256GB - Mic gọi zalo sao chập chờn, có hiện tượng giật lag, sau 2 tháng sử dụng"
