review_id,sent_idx,sentence,aspects,sentiments,recommendations
10,0,mới sài để cặp đã nứt màn không lên nứt nên k có bảo hành thay màn gần bằng máy mới chán,"['design', 'battery']","{'design': 'Neutral', 'battery': 'Negative'}","['Không có phản hồi cụ thể trong câu đánh giá này. Tuy nhiên', 'dựa trên ngữ cảnh', 'đây là một số gợi ý có thể:', '1. ""Cải thiện độ bền màn hình""', '2. ""Thêm tính năng bảo hành mở rộng""', 'Lưu ý: Đây chỉ là các gợi ý dựa trên ngữ cảnh', 'không phải từ phản hồi cụ thể']"
11,0,"máy thiết kế quá đẹp ,dùng dk mấy hôm r thấy máy vẫn ổn ,tiếc là pin tụt quá nhanh ,pin sạc thì nhanh nóng","['design', 'general', 'battery']","{'design': 'Positive', 'general': 'Positive', 'battery': 'Negative'}","['Cải thiện hiệu suất pin', 'Sửa lỗi sạc nhanh gây nóng']"
12,0,nâng cấp nên phiên bản mới pin sụt nhanh .nghĩ mà chán.... ................,"['battery', 'others']","{'battery': 'Negative', 'others': 'Neutral'}","['Cải thiện hiệu suất pin', 'Sửa lỗi tiêu thụ pin']"
13,0,đang dùng 1 tháng ok. sang tháng thư 2 bắt đau lỗi. chán quá. săp nguồn chết k lên dc. lại còn cứ kêu tắt tình ắng chế tài nghe j ý,"['battery', 'others']","{'battery': 'Negative', 'others': 'Negative'}","['Sửa lỗi khởi động ứng dụng', 'Cải thiện khả năng chịu lỗi']"
14,0,"màn hình sắc nét, pin trâu, chíp khoẻ, hình thức máy đẹp. vivo s1 pro quá tuyệt vời","['screen', 'battery', 'performance', 'design']","{'screen': 'Positive', 'battery': 'Positive', 'performance': 'Positive', 'design': 'Positive'}",[]
15,0,"dùng hơn 2 tuần cảm giác mọi thứ ok. chỉ có sóng sánh hơi kém.hay mất sóng. có cách nào khắc phục ko qtv, mong phản hồi","['battery', 'general']","{'battery': 'Neutral', 'general': 'Negative'}","['Cải thiện độ ổn định kết nối', 'Sửa lỗi mất sóng']"
16,0,"mình mua chưa đc 1 tuần mà tình trạng pin còn 98 thì có đổi lại đc hk.. vs lại nhiều khi bị đứng máy, thấy nản quá","['battery', 'performance']","{'battery': 'Positive', 'performance': 'Negative'}","['Sửa lỗi pin không giảm', 'Cải thiện độ ổn định của ứng dụng']"
17,0,vừa mua xong và chỉ muốn trả lại máy ngay vì camera quá tệ cả camera trước lẫn sau khuyên ai chụp ảnh nhiều như mình thì k nên lấy con này,"['camera', 'performance']","{'camera': 'Negative', 'performance': 'Negative'}","['Cải thiện chất lượng camera', 'Thêm tính năng chụp ảnh tốt hơn']"
18,0,may mới mua được 1 tháng. pin ổn. chụp hình xấu. cái viền máy mới đây bị tróc sơn rồi. quá thất vọng,"['battery', 'camera', 'design']","{'battery': 'Positive', 'camera': 'Negative', 'design': 'Neutral'}","['Cải thiện chất lượng camera', 'Sửa lỗi viền máy']"
19,0,bị các app ngân hàng chặn đăng nhập vân tay. k đáng giá 27tr. mua về chip đã yếu giờ lại bị chặn ngay chức năng vân tay trong màn hình.,"['ser&acc', 'performance']","{'ser&acc': 'Negative', 'performance': 'Negative'}","['Cải thiện tính năng xác thực vân tay', 'Sửa lỗi chặn đăng nhập vân tay']"
20,0,mọi thứ ok.mình thấy pin trâu chứ có sao đâu.mua đc 2 tuần rồi chỉ có cảm biến vân tay ko nhạy như mong đợi thôi.,"['battery', 'design', 'features']","{'battery': 'Positive', 'design': 'Neutral', 'features': 'Negative'}","['Cải thiện độ nhạy cảm biến vân tay', 'Cải thiện hiệu suất pin']"
21,0,máy đã được nâng cấp bản cập nhật và sửa lỗi bluetooth đã nghe nhạc qua bluetooth ngon lành,['ser&acc'],{'ser&acc': 'Neutral'},"['Không có phản hồi hữu ích', 'Không có phản hồi hữu ích']"
22,0,ma y cu ng xa i ta m ô n. ma n hi nh nó ko đươ c nhay nhiê u lu c pha i bâ m va i lâ n mơ i đươ c.,"['không thể trích xuất khía cạnh từ câu đã cho vì câu này không rõ ràng và chứa nhiều từ không liên quan. nếu bạn có thể cung cấp một câu rõ ràng hơn', 'tôi sẽ rất vui lòng giúp bạn trích xuất các khía cạnh']",{'không thể trích xuất khía cạnh từ câu đã cho vì câu này không rõ ràng và chứa nhiều từ không liên quan': 'Neutral'},['Không thể hiểu được phản hồi này. Có vẻ như nó không phải là tiếng Anh và chứa nhiều ký tự không xác định. Không thể chuyển đổi nó thành các khuyến nghị có thể thực hiện được']
23,0,"máy mượt , dùng tốt , pin ok chụp hình đẹp .. mới mua về nên cần thời gian dùng tiếp","['performance', 'battery', 'design', 'camera']","{'performance': 'Positive', 'battery': 'Neutral', 'design': 'Neutral', 'camera': 'Positive'}",[]
24,0,không biết mn sử dụng như nào chứ mình thấy máy ok lắm mà nên mình cho 5 sao chỉ kém ở phần pin hơi thấp tất cả đều ok,"['battery', 'general']","{'battery': 'Negative', 'general': 'Positive'}","['Cải thiện hiệu suất pin', 'Cải thiện thời lượng pin']"
25,0,máy quá kém chơi game thì giật giật máy mau nóng quá không hợp với giá 13 triệu đó giờ xài oppo không giờ mua samsung kg dám mua cái thứ 2....quá tệ,"['performance', 'camera', 'price']","{'performance': 'Negative', 'camera': 'Neutral', 'price': 'Negative'}","['Cải thiện hiệu suất phần cứng', 'Tăng cường khả năng chống rung']"
26,0,"khá ngon trong tầm giá, màn hình lớn chơi game xem phim ngon, chip khá mạnh chỉ hơi ấm tí","['battery', 'screen', 'performance']","{'battery': 'Neutral', 'screen': 'Positive', 'performance': 'Positive'}","['Cải thiện hiệu suất ứng dụng', 'Tăng cường khả năng chơi game và xem phim']"
27,0,"cho em hỏi là máy em, mua được 1 tuần mà máy lâu lâu em nghe cái cốc, như là bị lỏng gì ở trong vậy, như vậy có vấn đề j k anh",['others'],{'others': 'Negative'},"['Không có đủ thông tin để đưa ra một phản hồi chính xác và đầy đủ dựa trên câu đánh giá được cung cấp. Tuy nhiên', 'tôi có thể đưa ra một số gợi ý dựa trên ngữ cảnh:', '1. ""Kiểm tra kết nối phần cứng""', '2. ""Cập nhật phần mềm hoặc driver""', 'Lưu ý rằng đây chỉ là những gợi ý chung và không phải là phản hồi chính xác dựa trên câu đánh giá được cung cấp. Để có phản hồi chính xác', 'cần có thêm thông tin về tình trạng cụ thể của máy và các']"
28,0,"sau vài ngày sd sp... thấy đt cx tạm ổn. nếu vừa xài vừa xạc thì cảm ứq sẽ bị đơ, pin tuột nhanh. vân tay xài cx khá ổn...","['battery', 'design', 'features']","{'battery': 'Negative', 'design': 'Neutral', 'features': 'Neutral'}","['Cải thiện hiệu suất khi sạc pin', 'Cải thiện độ ổn định của hệ thống khi sử dụng pin thấp']"
29,0,hàng sài tạm thì được không mượt mà lắm . vi xử lý kém. nếu chơi game lien quan thì yếu,"['performance', 'camera']","{'performance': 'Negative', 'camera': 'Neutral'}","['Cải thiện hiệu suất phần cứng', 'Cải thiện hiệu suất vi xử lý']"
30,0,"sa n phâ m tô t, nhân viên nhiê t ti nh tơ i tâ n mi nh ra vê , co điê u pin không như mi nh mong đơ i mă c du không ta c vu gi nhiê u, 32gb bô nhơ thâ t sư kho đu vơ i mi nh mă c du mi nh không chư a gi nhiê u. no i chung mo i thư kha c đê u ok","['battery', 'ser&acc']","{'battery': 'Negative', 'ser&acc': 'Neutral'}",['Không thể chuyển đổi phản hồi này thành các khuyến nghị do ngôn ngữ và nội dung không rõ ràng. Hãy cung cấp một đánh giá rõ ràng hơn để tôi có thể hỗ trợ bạn tốt hơn']
31,0,sản phẩm tốt trong tầm giá nhưng đôi khi máy hơi bị giật lác không được mượt mà lắm,"['performance', 'others']","{'performance': 'Positive', 'others': 'Negative'}","['Cải thiện hiệu suất của ứng dụng', 'Sửa lỗi giật màn hình']"
32,0,"máy trong tầm giá này thì bth vì được cái pin nó trâu. đang dùng ngon lành tự nhiên sập nguồn, bị đơ,bấm mở nguồn lại ko đc phải chờ đến 10p sau mới mở nguồn lại. cv của mình toàn trên đth ko thôi mà bị vậy đang có cv thì tự nhiên đơ rồi cái rụp sập nguồn muốn đập lắm lun á. đang có ý định đổi qua máy khác. không biết đc không","['battery', 'performance']","{'battery': 'Positive', 'performance': 'Negative'}","['Sửa lỗi pin', 'Cải thiện độ tin cậy của thiết bị']"
33,0,"quá ngon trong tầm giá, lần đầu dùng smartphone mà không phải đi đâu cũng kè kè cục xạc, giải trí căn bản pin 2 ngày.","['price', 'general']","{'price': 'Positive', 'general': 'Positive'}","['Cải thiện hiệu suất ứng dụng', 'Tăng cường thời lượng pin']"
34,0,"mình mua 3 ngày về xài thấy rất tốt. do công việc nên hầu như xài suốt ngày, 4g mình bật 24 24 nhưng pin xài chỉ 70 6 giờ sáng đến 20 giờ . trong khi những dt khác mình xài phải sạt 2 lần. về tất cả chức năng còn lại mình thấy rất mượt, mình rất hài lòng về sản phẩm. máy chạy không bị nóng. mình sẽ mua thêm sản phẩm cho gia đình xài.","['battery', 'performance', 'design', 'general']","{'battery': 'Negative', 'performance': 'Positive', 'design': 'Neutral', 'general': 'Positive'}","['Cải thiện hiệu suất pin', 'Cải thiện hiệu suất tổng thể']"
35,0,"mình thấy các bạn cứ chê. mình thấy máy dùng ok mà. ko bị lag , fb , tiktok , coi phim , loa đều ok cả. mình dùng dt để quay phim , chụp ảnh , bán hàng online thôi chứ k game gủng gì. dùng messeger , rep ib ko bị đơ là sung sướng, nghe gọi loa to rõ ràng.nhất là khoản thu cũ đổi mới còn hỗ trợ trả góp o nữa mình đổi note8 lấy máy này . lo note8 nhỏ , máy dùng hơn 2 năm dãi nắng dầm mưa cùng mình rồi nên giờ cũng hay đơ nên dạo này hơi stress. lăn tăn mãi chưa đổi vì bỏ ra nhiều tiền để mua máy mới quá tiếc. ko nghĩ lại đơn giản đến thế luôn. đưa máy cũ đến , cầm máy mới về. bắt đầu từ tháng sau mỗi tháng thanh toán 1tr3 trong vòng 9 tháng thích bạn nhân viên tư vấn , nhiệt tình cực kỳ","['performance', 'design', 'price', 'general']","{'performance': 'Positive', 'design': 'Neutral', 'price': 'Negative', 'general': 'Positive'}","['Cải thiện hiệu suất của máy', 'Cải thiện chất lượng loa']"
36,0,camera trước khi khởi động phát ra âm thanh rất khó chịu. không giống bth mà kêu rè rè kiểu gì ấy,['camera'],{'camera': 'Negative'},"['Sửa âm thanh phát ra khi khởi động camera', 'Cải thiện âm thanh camera trước']"
37,0,"mình mới mua máy hơn tuần dùng rất là ok luôn,nhân viên tgdđ thì nhiệt tình đáng yêu.. nói chung là tuyệt với","['price', 'design', 'ser&acc']","{'price': 'Neutral', 'design': 'Neutral', 'ser&acc': 'Neutral'}",[]
38,0,sản phẩm khá tốt trong tầm giá nhưng sao sạc pin nó nóng thế mặc dù tôi đã tắt ánh sáng và mạng đi và xoá các tác vụ trang nhưng nó vẫn thế,"['battery', 'others']","{'battery': 'Positive', 'others': 'Negative'}","['Sửa lỗi sưởi ấm pin', 'Cải thiện hiệu suất sạc pin']"
39,0,"máy đẹp,chạy mượt mà,pin sài ổn,sạc 3 tiếng đầy pin,giá cả hợp lý,vì mình có mua dung lượng icloud nên 32gb sài củng tạm!","['design', 'performance', 'battery', 'price', 'general']","{'design': 'Positive', 'performance': 'Positive', 'battery': 'Positive', 'price': 'Positive', 'general': 'Neutral'}",[]
40,0,"máy lag, không nhúc nhích được, tgdd thì không cho đổi trả. đã mua rất nhiều ở tgdd và đây là lần cuối cùng. thề tẩy chay tgdd","['performance', 'others']","{'performance': 'Negative', 'others': 'Negative'}","['Cải thiện hiệu suất ứng dụng', 'Cải thiện khả năng tương tác của ứng dụng']"
41,0,pin 5000 nhưng dùng trong 1 ngày anh nhân viên cute cam chụp đẹp nhưng xem vd trên youtube chỉ 720p là căng,"['battery', 'camera', 'screen']","{'battery': 'Positive', 'camera': 'Positive', 'screen': 'Neutral'}","['Cải thiện hiệu suất pin', 'Cải thiện chất lượng video trên YouTube']"
42,0,"pin trâu, thích nhất phần chụp hình ... ok trọn gói, nhân viên phục vụ nhiệt tình ...","['battery', 'camera', 'ser&acc']","{'battery': 'Positive', 'camera': 'Positive', 'ser&acc': 'Neutral'}","['Không có phản hồi yêu cầu hoặc đề xuất cải tiến cụ thể trong đánh giá này. Tuy nhiên', 'dựa trên các quy tắc đã cung cấp', 'tôi có thể đưa ra một số gợi ý chung:', '1. **Cải thiện hiệu suất pin**: ""Tăng tuổi thọ pin của thiết bị""', '2. **Nâng cao chất lượng dịch vụ khách hàng**: ""Cải thiện trải nghiệm khách hàng', 'đặc biệt là nhân viên phục vụ""', 'Nếu bạn cần một phản hồi cụ thể hơn', 'vui lòng cung cấp thêm chi tiết hoặc yêu']"
43,0,"màn hình xấu nó ngà ngà xấu hơn cái màn hình note 6 pro đang xài , camera lồi quá mất thẩm mỹ ....","['screen', 'camera']","{'screen': 'Negative', 'camera': 'Negative'}","['Cải thiện chất lượng màn hình', 'Điều chỉnh kích thước camera']"
44,0,đã mua sản phẩm iphone 7plus 128g tại tgdđ và cảm thấy ok. lúc mới mua giá tương đối cao. giờ giá đã tốt hơn nhiều. minh se tiếp tục mua sản phẩm của apple trong thời gian tới.,"['price', 'general']","{'price': 'Negative', 'general': 'Neutral'}","['Không có phản hồi hoặc yêu cầu rõ ràng trong đánh giá này. Tuy nhiên', 'dựa trên ngữ cảnh', 'đây là một số đề xuất có thể:', '1. Cải thiện trải nghiệm người dùng (UX) cho việc mua hàng trực tuyến', '2. Cung cấp thông tin cập nhật về giá sản phẩm để người dùng có thể đưa ra quyết định mua hàng thông minh hơn', 'Lưu ý: Đây chỉ là các đề xuất giả định dựa trên ngữ cảnh. Không có phản hồi hoặc yêu cầu rõ ràng trong đánh giá', 'nên không thể tạo ra các']"
45,0,hiện tại dùng thấy rất ổn. camera ok. cấu hình tốt. pin trâu. máy mới mua nên dùng khá ổn,"['performance', 'camera', 'battery', 'storage']","{'performance': 'Positive', 'camera': 'Positive', 'battery': 'Positive', 'storage': 'Neutral'}",[]
46,0,pin trâu loa to thích nhất dong ss . ko bao giờ là thất vọng dòng ss .đặc biệt là mua ở tgdd mấy anh chị nhân viên tư vấn rất nhiệt tình .mk sẽ ủng hộ dài dài,"['battery', 'loa', 'ser&acc']","{'battery': 'Positive', 'loa': 'Positive', 'ser&acc': 'Neutral'}","['Không có phản hồi hoặc yêu cầu rõ ràng trong đánh giá này. Tuy nhiên', 'dựa trên ngữ cảnh', 'tôi đề xuất một số cải tiến tiềm năng:', '1. Cải thiện hiệu suất pin: ""Tăng cường hiệu suất pin để duy trì thời lượng pin lâu hơn.""', '2. Cải thiện chất lượng âm thanh: ""Nâng cao chất lượng âm thanh để cải thiện trải nghiệm người dùng.""', 'Đây là các khuyến nghị dựa trên các điểm mạnh được đề cập trong đánh giá. Tuy nhiên', 'vì không có yêu cầu rõ ràng']"
47,0,"pin sạc lâu quá. mình cắm sạc từ lúc 6h mà đến 9h20 mới được 80 . độ sáng màn hình không được đều, chỉnh xuống 50 thì quá tối so với các dòng máy khác, xuống 20 thì siêu tối luôn, cứ phải để độ sáng trên 70 mới rõ ràng được nhưng rất hao pin. máy cũng mượt chơi free fire ok, pugb hơi giật tí lúc đầu nhưng không sao. trong tầm giá thì chiếc này quá tốt.","['battery', 'screen']","{'battery': 'Negative', 'screen': 'Negative'}","['Cải thiện hiệu suất pin', 'Cải thiện độ sáng màn hình']"
48,0,"tại sao không gửi đánh giá được vậy ? đt không xứng với giá tiền. cam tệ, chụp bị vỡ, không nét, chụp đêm rất thảm hại. một trời một vực với quảng cáo. pin tụt rất nhanh, sd ít nhưng chưa được một ngày. loa không hay và nhỏ. được cái cảm biến vân tay và gương mặt khá nhạy. chắc còn mới nên vậy. nói chung là nên mua dt khác với giá 7tr5. thiết kế còn xấu hơn nova 3i nữa. nhận được tiền học bổng là phi đi mua dt liền mà mua trúng cái dt chán quá. thất vọng tràn trề.","['battery', 'camera', 'design', 'price', 'ser&acc']","{'battery': 'Negative', 'camera': 'Negative', 'design': 'Negative', 'price': 'Negative', 'ser&acc': 'Negative'}","['Cải thiện chất lượng camera', 'Nâng cao hiệu suất pin', 'Cải thiện âm thanh', 'Cải thiện thiết kế', 'Cải thiện trải nghiệm người dùng (UX)']"
49,0,mình mua cũng đc gần 2 tuần nhưng đang chơi game hoặc xem tik tok thì wf cứ bị ao r xong kết nối lại rất nhiều lầm,"['performance', 'connectivity']","{'performance': 'Negative', 'connectivity': 'Negative'}","['Sửa lỗi kết nối Wi-Fi', 'Cải thiện độ ổn định kết nối Wi-Fi']"
50,0,"mua hôm 18 1. máy tốt, mượt. bin bền. cam tạm đc. nói chung rất ổn trong tầm giá. nhân viên chu đáo nhiệt tình.","['performance', 'design', 'battery', 'price', 'general']","{'performance': 'Positive', 'design': 'Neutral', 'battery': 'Positive', 'price': 'Positive', 'general': 'Positive'}","['Không có phản hồi tiêu cực hoặc yêu cầu rõ ràng trong đánh giá này. Vì vậy', 'tôi không thể cung cấp bất kỳ khuyến nghị nào dựa trên quy tắc đã cho. Tuy nhiên', 'nếu bạn muốn', 'tôi có thể đưa ra một số gợi ý chung dựa trên những gì người dùng đã viết:', '1. ""Cải thiện chất lượng camera""', '2. ""Thêm tính năng chế độ tối""', '3. ""Cải thiện chức năng tìm kiếm""', '4. ""Tăng cường hỗ trợ khách hàng""', '5. ""Nâng cao hiệu suất tổng']"
51,0,mik mới mua máy được 1 tuần.mình để qua đêm thì máy hao mất 3 . máy mới mua mà pin đã vậy rồi.,"['battery', 'performance']","{'battery': 'Negative', 'performance': 'Negative'}","['Cải thiện hiệu suất pin', 'Cập nhật phần mềm pin']"
52,0,"iphone 7 plus màu đen nhám đẹp ,máy xài rất êm. mua lúc 20 10 2017 tới nay cũng gần 7 tháng rồi vẫn để ios 10.2 xài mượt , camera chụp hình đẹp ,máy mượt mà, nói chung là quyết định đúng đắn khi mua máy này !!","['design', 'performance', 'camera', 'general']","{'design': 'Positive', 'performance': 'Positive', 'camera': 'Positive', 'general': 'Positive'}",[]
53,0,"cảm ứng vân tay k nhạy lắm, xem phim cũng chẳng tràn hình, sài thì tạm đc, k được như mong đợi...","['features', 'screen']","{'features': 'Negative', 'screen': 'Negative'}","['Cải thiện độ nhạy cảm ứng vân tay', 'Cải thiện chất lượng hiển thị màn hình']"
54,0,"sử dụng một tuần, máy màn hình đẹp xem phim nghe nhạc rất tốt.chơi game nặng như liên quân pubg rất mượt nhưng chơi khoảng một tiếng máy nóng lên là bị giật lag. pin 4000 nhưng thật tế ko trâu vì màn hình lớn độ phân giải cao nên tuột pin khá nhanh.chụp ảnh được màu sắc trung thực rõ nét. trong tầm giá 5tr con này là tốt nhất","['screen', 'performance', 'battery']","{'screen': 'Positive', 'performance': 'Negative', 'battery': 'Neutral'}","['Cải thiện hiệu suất GPU để giảm giật lag khi chơi game nặng', 'Tăng tuổi thọ pin bằng cách tối ưu hóa hiệu suất và giảm tiêu thụ năng lượng']"
55,0,tôi mua được 2 tháng .bây giờ dùng bị đơ máy.thao tác phải thật chậm mới dc .có cách giải quyết k qtv,"['performance', 'others']","{'performance': 'Negative', 'others': 'Neutral'}","['Sửa lỗi treo ứng dụng', 'Cải thiện hiệu suất ứng dụng']"
56,0,wifi của điện thoại không được tốt cho lắm mới đầu tưởng sp lỗi đi đổi lại nhưng vẫn như vậy. được cái tgdd phục vụ rất tốt rất hài lòng,"['wifi', 'ser&acc']","{'wifi': 'Negative', 'ser&acc': 'Positive'}","['Cải thiện kết nối wifi', 'Cập nhật phần mềm mạng']"
57,0,may ngon rẻ chụp nét và chơi game ít nóng mình dù đồ họa cao nhưng m ngon hơn samsung,"['battery', 'camera', 'performance']","{'battery': 'Positive', 'camera': 'Positive', 'performance': 'Neutral'}","['Cải thiện hiệu suất GPU', 'Cải thiện hiệu suất tổng thể của thiết bị']"
58,0,video màu sắc nhợt nhạt lắm. nhưng chuyển từ bé màn hình lên full màn trong youtube thì video lại nhảy màu sắc sống động hơn. chỉ 1s mong sớm sửa lỗi,"['battery', 'camera']","{'video màu sắc nhợt nhạt': 'Negative', 'chuyển từ bé màn hình lên full màn trong youtube': 'Neutral', 'mong sớm sửa lỗi': 'Positive'}","['Cải thiện chất lượng màu sắc video', 'Sửa lỗi hiển thị video trên màn hình lớn']"
59,0,"nhanh hao pin, không làm gì cũng hao, làm sao để hiển thị thông báo trên màn hình khoá","['battery', 'performance']","{'battery': 'Negative', 'performance': 'Negative'}","['Cải thiện hiệu suất pin', 'Thêm tính năng hiển thị thông báo trên màn hình khóa']"
60,0,sau cảm trước chụp ảnh thấy mờ và nhạt quá mắc dù điều kiện đủ sáng.cam sau thì thấy tâm ổn,"['camera', 'screen']","{'camera': 'Negative', 'screen': 'Neutral'}","['Cải thiện chất lượng ảnh chụp', 'Cải thiện độ nhạy ánh sáng']"
61,0,mi nh qua thâ t vo ng vê sam sung.du ng tha ng 3 nga y ho ng mi ch thu mang đê n tt ba o ha nh sư a la i pha i chơ 2 nga y mơ i lâ y dk.mich thu ma chưa co nư a thi cu ng go i la ttbh sam sung nư a chư .vân tay thi chưa bao giơ mơ dk 1 lâ n,['others'],{'others': 'Neutral'},"['Không có phản hồi có thể hiểu được trong câu đánh giá này. Vì vậy', 'tôi không thể cung cấp bất kỳ khuyến nghị nào dựa trên thông tin đã cho']"
62,0,tất cả đều ok nhưng sóng hơi yếu ở ngay cột sóng mà có được 2 cột sóng thôi mong có bản cập nhật chỗ này để khắc phục được,"['battery', 'design']","{'battery': 'Neutral', 'design': 'Neutral'}","['Thêm cột sóng', 'Cải thiện độ mạnh của sóng']"
63,0,máy ok mà mấy bạn. chơi game khỏe . pin châu nữa . rất tuyệt vs tầm giá. . chưa thấy lỗi gì hết,"['performance', 'battery', 'price', 'general']","{'performance': 'Positive', 'battery': 'Positive', 'price': 'Positive', 'general': 'Positive'}",[]
64,0,"máy hoàn thiện về mặt thiết kế cũng như hiệu năng, chơi pubg, tft mobile mượt mà, nhưng do sạc nhanh 30w nên lúc đầu hơi nóng","['design', 'performance']","{'design': 'Positive', 'performance': 'Positive', 'charging_speed': 'Positive'}","['Cải thiện hiệu suất sạc nhanh', 'Thiết kế vỏ mát hơn']"
65,0,máy mình dùng sau 3 tháng khá ổn định . về pin và hiệu náng sản phẩm này đem lại . không có nút 6 để mình ấn luôn . ae nên mua con này thiết kế vừa đẹp mà cấu hình cao chạy đa nhiệm tốt !,"['battery', 'performance', 'design', 'general']","{'battery': 'Neutral', 'performance': 'Positive', 'design': 'Positive', 'general': 'Positive'}","['Cải thiện giao diện người dùng', 'Tăng cường hiệu suất ứng dụng']"
66,0,"nói chung điện thoại xài oke, chỉ có cái pin là ko ưng bụng lắm. pin sạc sáng 6h là 100 tới chiều 15h 16h cũng rớt khoảng 25 đến 30 mặc dù không dùng vào chơi game hay truy cập trang mạng khác chỉ thỉnh thoảng nghe gọi thôi mà cũng rớt nhiều pin đến vậy 4.000mah mà cứ như 3.000mah vậy","['battery', 'general']","{'battery': 'Negative', 'general': 'Positive'}","['Cải thiện hiệu suất tiết kiệm pin', 'Tăng cường khả năng chống rung']"
67,0,"nhắm mắt ra mua , ai dè máy tệ ko thể chấp nhận được, giật lag đơ cảm ứng liên tục, nhân viên tư vấn thiếu nhiệt tình","['performance', 'camera', 'ser&acc']","{'performance': 'Negative', 'camera': 'Neutral', 'ser&acc': 'Neutral'}","['Cải thiện hiệu suất cảm ứng', 'Sửa lỗi giật lag máy']"
