review_id,sent_idx,sentence,aspects,sentiments
r-58809486,0,Dùng từ đời 11T Pro cho tới 15T Pro cảm thấy không hề hối hận chất lượng quá tốt,['general'],{'general': 'Positive'}
r-58782998,0,"Mua đúng 1 tháng, thừa nhận máy dùng ổn định, cam đẹp, pin không trâu lắm nhưng thừa sức đáp ứng 1 ngày dài làm việc nhiều, nhân viên tư vấn nhiệt tình....nói chung là rất OK.","['general', 'camera', 'battery', 'ser&acc']","{'general': 'Positive', 'camera': 'Positive', 'battery': 'Neutral', 'ser&acc': 'Positive'}"
r-58652279,0,"Sài sướng thật,năm ngoái xài Xiaomi 14t pro .năm nay lên đời vẫn sướng.",['general'],{'general': 'Positive'}
r-58871648,0,"Máy ngon, mượt. Lần đầu dùng xiaomi không nghĩ máy được như vậy. Hy vọng máy bền xài được 4 hay 5 năm","['general', 'performance']","{'general': 'Positive', 'performance': 'Positive'}"
r-58866003,0,Máy quá tốt tôi đang dùng Ss qua mà máy dùng rất là hay nhân viên hỗ trợ nhiệt tình sẽ ủng hộ sau này,"['general', 'ser&acc']","{'general': 'Positive', 'ser&acc': 'Positive'}"
r-58862708,0,Máy mới mua 2 ngày mà tuột pin quá.,['battery'],{'battery': 'Negative'}
r-58862344,0,Máy sài ổn... nhưng lúc sạc đt cục sạc bị nóng lên vậy...,"['general', 'battery']","{'general': 'Positive', 'battery': 'Negative'}"
r-58856972,0,Máy để qua đêm sao tuột tầm 15% pin,['battery'],{'battery': 'Negative'}
r-58849301,0,Tôi đứng hon 1 tháng rồi. Nhìn chung là máy rất ổn. Tuy nhiên tôi nhận thấy mấy bát wifi và phát wifi hoi kem. Tình năng điều khiển mi không sử dụng đc.,"['general', 'features']","{'general': 'Positive', 'features': 'Negative'}"
r-58847352,0,"Mẹ ơi đúng ngon luôn,hàng xiaomi mà trên 10 củ nó vẫn là cái gì đó quá đẳng cấp",['general'],{'general': 'Positive'}
r-58834757,0,Đt sài rất tốt mạnh mượt,"['performance', 'general']","{'performance': 'Positive', 'general': 'Positive'}"
r-58797951,0,Quá Vip.chơi game bao ko nóng máy luôn....ngon,['performance'],{'performance': 'Positive'}
r-58780250,0,"Pin tụt nhanh, loa rè.","['battery', 'features']","{'battery': 'Negative', 'features': 'Negative'}"
r-58659174,0,"Máy mượt lắm nha mọi người,ok luôn","['performance', 'general']","{'performance': 'Positive', 'general': 'Positive'}"
r-58782725,0,Mấy rẻ hơn so vs cau hình hãng khác mới dùng cũng thấy rất ok,"['price', 'general']","{'price': 'Positive', 'general': 'Positive'}"
r-58766435,0,"Khi sạc pin có đèn màu trắng phía trên bên phải, có cach nào tắt đèn này ko vậy","['features', 'battery']","{'features': 'Neutral', 'battery': 'Neutral'}"
r-58763868,0,Vừa mua mà hao pin quá,['battery'],{'battery': 'Negative'}
r-58747410,0,"Mình mua giá 1791k, giả rẻ mà màn hình đẹp. Loa kép,to rõ hay. Sạc 10W nhưng 2 tiếng là đầy, cầm nắm thoải mái, thiết kế đẹp. Hộp đủ phụ kiện, đặc biệt ốp lưng rất tốt. Game thì tốc chiến 40fps, giao tranh lag nhẹ, chơi 4 tiếng còn 30% pin. Mạng 4G nhanh, Wifi tốt. 9/10 điểm","['price', 'screen', 'features', 'battery', 'design', 'ser&acc', 'performance', 'general']","{'price': 'Positive', 'screen': 'Positive', 'features': 'Positive', 'battery': 'Negative', 'design': 'Positive', 'ser&acc': 'Positive', 'performance': 'Negative', 'general': 'Positive'}"
r-58701475,0,"Đt thiết kế đẹp, mỏng, pin trâu nhưng mà mạng chập chờn nhiều và lỗi vặt nhiều. Với phân khúc giá rẻ chỉ có 2tr như này thì cũng tạm ổn rồi không đòi hỏi được gì hơn","['design', 'battery', 'features', 'price', 'general']","{'design': 'Positive', 'battery': 'Positive', 'features': 'Negative', 'price': 'Positive', 'general': 'Neutral'}"
r-58878031,0,"Gần tới ngày trả kết quả thẩm định máy lỗi 27/11mình thấy lâu mình hay hỏi mà cứ hẹn tới hẹn lui mãi, ngày này hôm kia hôm nọ. Xong hôm nay hỏi tiếp thì bên bộ phận bảo hành kêu chờ thêm 710 ngày nữa mới có kết quả. Ủa hẹn tới lui mãi gần tới ngày nhận kết quả luôn, xong giờ hẹn 710 ngày nữa ai chịu Vấn đề kẹt nhiều máy thẩm định ko kịp gì gì đó thì đó là chuyện của tgdd, tui không quan tâm. Máy tui mua trả tiền thẳng sòng phẳng đàng hoàng, máy hơn 30trieu xài dc mấy ngày phát hiện lỗi đem đi thẩm định thời gian 15 ngày là đã thấy không vui tí nào rồi. Cũg ráng chờ dữ lắm rồi đó. Gio hẹn thêm như vậy là quá 15 ngày thẩm định rồi. Tui không chờ được nữa đâu nhe. Phải giải quyết liền cho tui. hoàn tiền ngay lập tức.","['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
r-58869706,0,"Mua ngày 25/10 thì phải. Máy mới, mà bàn phím lâu lâu thì giật giật. Có khi bấm không được luôn phải tắt nguồn lại mới được. Vào album ảnh thì chậm bấm vài ảnh xem đợi vài giây nó lại nhảy qua ảnh khác. Gần 31tr chứ k rẻ. Đề nghị kiểm tra, Dù đã đọc bình luận nhiều người đánh giá nhưng dùng iphone quen nên vẫn mua mà chán 13prm cũ dùng 4 năm còn mượt hơn.","['performance', 'price', 'general']","{'performance': 'Negative', 'price': 'Negative', 'general': 'Negative'}"
r-58868046,0,Xài xịn khỏi chê luôn. Siêu thị 01 Cộng Hòa nhân viên dễ thương cực,"['general', 'ser&acc']","{'general': 'Positive', 'ser&acc': 'Positive'}"
r-58866381,0,Nhân viên tư vấn nhiệt tìnhGần qua 1 năm rồi giá iphone 16pm vẫn mức duy trìMáy mạnh tuyệt,"['ser&acc', 'price', 'performance', 'general']","{'ser&acc': 'Positive', 'price': 'Neutral', 'performance': 'Positive', 'general': 'Positive'}"
r-58805306,0,Tôi có mua điện thoại iPhone 16promax tại thế giới di động hồi tháng 2 dùng được vài ngày thì bị lỗi panicfull +resetcuonter mang qua thì nhân viên kiểm tra xác nhận đúng lỗi đổi luôn cho máy khác và nói lên mua thêm gói bảo hành 1 đổi 1 trong vòng 1 năm bất cứ khi nào lỗi mang qua thì được đổi máy vậy mà hôm 5/11 tôi đang dùng có bị reset lại máy vào phân tích thì có lỗi panicfull + resetcounter có 2 nhân viên cửa hàng 1 người bảo đổi 1 người kêu gửi về hãng trong khi lỗi hiện rõ trên máy chả hiểu kiểu gì,"['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
r-58781673,0,Mình mới mua hôm 19/10 điện thoại để qua đêm không sử dụng vẫn tụt mất 8% phin,['battery'],{'battery': 'Negative'}
r-58781601,0,"Mua được cái điện thoại được tặng 3 phiếu mua hàng trị giá khoảng một triệu. Nhưng không dành cho cục sạc hay miếng dán, ốp lưng. Chọc điên tôi à.","['ser&acc', 'others']","{'ser&acc': 'Negative', 'others': 'Negative'}"
r-58776455,0,"Mới mua 4 tháng, muốn bán lên 17",['others'],{'others': 'Neutral'}
r-58766911,0,mình đã mua đc 6 tháng h muốn bán để lên iphone 17 mong đc hỗ trợ,['others'],{'others': 'Neutral'}
r-58763740,0,Dịch vụ sữa chữa và bảo hành của apple quá tệ.,['ser&acc'],{'ser&acc': 'Negative'}
r-58755988,0,Mình mới mua ip16prm 256g tháng 10 sạc 13 lần vẫn nguyên hộp bên mình có thu cũ đổi lên đời 17prm ko ah,['others'],{'others': 'Neutral'}
r-58714333,0,"quá tệ điện thoại lỗi đem ra đổi mà check thì bảo ko bị gì,ko muốn đổi cho khách hàng,thua xa dòng 11",['others'],{'others': 'Negative'}
r-58698428,0,"Rất tệ cách bảo hành của 1 siêu thị lớn, lề là lề mề, công bố chính sách bảo hành ko quá 15 ngày, nhưng rồi vẫn vượt quá số ngày cam kết, cầm tờ giấy hẹn đến cửa hàng nhưng cũng chỉ nhận đc những lời đùn đẩy đủ lí do, Tôi cần đc gặp nhân sự có quyền hạn giải quyết việc này cho tôi, thực sự bực bội","['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
r-58690415,0,Loa ngoài có vấn đề.lúc to lúc nhỏ.tgdd có kiểm tra cho mình ko.nhất là âm chụp màn hình.lúc to nghe rất rát.,"['features', 'general']","{'features': 'Negative', 'general': 'Negative'}"
r-58662383,0,"Cho mình hỏi máy mình mua dùng đc 1 tháng , có dấu hiệu , máy đen nhưng có vài nốt chấm màu trắg lsao ạ",['screen'],{'screen': 'Negative'}
r-58655938,0,"Mỗi lần đến địa đểm mới, Máy cập nhật wifi chậm, lâu vào được mạng","['features', 'general']","{'features': 'Negative', 'general': 'Negative'}"
r-58654247,0,Mình mới mua hôm 5/7/2025 sạc 58 lần pin 100% không trầy xước mới nguyên vỏ hộp còn nguyên tại thế giới di động giờ muốn bán lại đổi lên 17pro max 256G shop thu lại giá sao ạ,"['battery', 'design', 'price']","{'battery': 'Positive', 'design': 'Positive', 'price': 'Neutral'}"
r-58654049,0,Tôi mới mua 16 pro max màu đen 3 ngày trước giờ muốn đổi lại màu titan sa mạc bù bao nhiêu,['others'],{'others': 'Neutral'}
r-58650355,0,Máy bị lỗi gửi bh ngày 13/9đến 25/9 phản hồi hãng nhận máy đợi thêm 610 ngày nữa để ktra. Rồi ban đầu báo 15 ngày có máy đến hôm nay vẫn chưa giải quyết và hẹn tiếp mình đâu dư tiền để mua máy xong gửi bh hơn 1 tháng và không biết máy sẽ xử lí ntn làm ăn rất rất lè mề. Rồi sau đến 610 rồi hẹn tiếp thì còn gì là cái đt nữa chưa thấy bh mà gần 1 tháng. Bực bội hết sức. Cảm thấy không xử lí đc thì trả máy về để bên đmx họ xử lí ntn,"['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
r-58646359,0,"Máy mới mua gần dduowjc 1 tháng, mà dùng lướt bình thường bắt wifi mà nhanh tụt quá. Sáng đầy mà dùng chưa đến 1 ngày đã hết pin","['battery', 'features']","{'battery': 'Negative', 'features': 'Neutral'}"
r-58653751,0,"Mua góp tiền thì thu rồi mà đợi xuất hàng gần 15p khó hiểu,mua ngày 28 về xem lại thì ngày kích hoạt máy là 27","['ser&acc', 'others']","{'ser&acc': 'Negative', 'others': 'Neutral'}"
r-58626538,0,"Xin chào Xin cho hỏi Tôi mới mua iPhone 16 128G, đang dùng sang tháng thứ 2. Giờ muốn mua iPhone 17 256G thì nên chọn hình thức đổi trả hay thu cũ đổi mới để có giá trị cao hơn",['others'],{'others': 'Neutral'}
r-58614855,0,"Cho mình hỏi mình mua con iPhone 16 từ tháng 3/2025 giờ nó bị liệt nút tác vụ chụp ảnh thì có được bảo hành không và mang ra đâu ạ, mình ở hà nội","['ser&acc', 'others']","{'ser&acc': 'Neutral', 'others': 'Neutral'}"
r-58611723,0,"Máy mua mới dùng đc 1 tháng thì bị lỗi loa trong khi không rơi vỡ vào nước hay cấn móp gì, máy có mua kèm gói bảo hành 1 đổi 1 trong vòng 11 tháng củ cửa hàng, mang lên cái ttbh ủy quyền thậm đỉnh để đổi máy thì lại bị báo từ chối bảo hành và bắt phải bỏ tiền ra thay thế, xong ngâm máy của tôi hơn 2 tháng, tới khi thỏa thuận chấp nhận sửa máy thì lại bắt chờ 3 tuần liền. Tiền mất, tật mang, máy thì không có dùng, công việc thì ngưng trệ. Thất vọng toàn tập.","['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
r-58605820,0,Mua được 6 tháng máy tử reset lại rồi đơ k lên . Gửi bảo hành thì kêu báo phải thay kính camera 5.8tr mới bảo hành Cho . ngang nhau lừa dân,"['camera', 'ser&acc', 'general']","{'camera': 'Negative', 'ser&acc': 'Negative', 'general': 'Negative'}"
r-58562121,0,không có hoá đơn mua hàng điện tử,['others'],{'others': 'Negative'}
r-58522729,0,Tôi từng mua hàng của TGDD cũng là khách hàng thân thiết mà giờ TGDD gap sự cố thì phủi bỏ trách nhiệm ko bảo hành và thực hiện như trước,['ser&acc'],{'ser&acc': 'Negative'}
r-58491064,0,Mình mua ngày 24 tháng 7 đến này dùng thấy ok. nhân viên hỗ trợ nhiệt tình,"['general', 'ser&acc']","{'general': 'Positive', 'ser&acc': 'Positive'}"
r-58393085,0,"Máy lỗi sóng như máy lock, bắt wifi kém .. Chơi game nhẹ feefine nếu không sài wifi chỉ sài mạnh còn Thua cả máy samsung 5tr","['performance', 'features']","{'performance': 'Negative', 'features': 'Negative'}"
r-58335731,0,Tôi mua iphone 16 128 gb mới vào ngày 762025 đáng ra được bảo hành 1 năm nhưng khi kiểm tra mục bảo hành của điện thoại thì chỉ còn 10 tháng .....,['ser&acc'],{'ser&acc': 'Negative'}
r-58259150,0,"Thất vọng iPhone 16 Minh mua về chua dùng ngay , sau 1 tháng 5 ngay bỏ ra kích hoạt dùng thì máy treo trắng màn hình không đang nhập được, phải mang đi hãng bảo hành, ko được đổi mới.","['screen', 'ser&acc', 'general']","{'screen': 'Negative', 'ser&acc': 'Negative', 'general': 'Negative'}"
r-58250407,0,Mua máy từ ngày 20/4 nhưng giờ mới có thời gian đánh giá mình mua máy ở tgdđ phan đăng lưu lúc mua thì nv nhiệt tình quẹt thẻ tư vấn lẹ làng lắm đến khi dán màn thì ối dồi ôi ko biết bạn nv dán kiểu gì mà chân sạc đầy cồn mình tính kk lấy rồi nhưng bạn qly bảo cồn bay hơi nhanh với lại máy này kháng nc nên mình mới lấy gặp người kỹ tính họ ko lấy đâu lần sau bạn nv làm việc chuyên nghiệp lên nhé máy khách mua gần 20tr ko rẻ đâu,"['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Positive'}"
r-58196089,0,"Hiện đang bị lỗi nhắn tin bị đơ 3s mới nổi lên , cảm thấy không được hài lòng cho lắm máy chỉ mới xử dụng 2 ngày","['performance', 'general']","{'performance': 'Negative', 'general': 'Negative'}"
r-58172632,0,Dt mới mua pin sạc 100% để chế độ may bay .sáng tut còn 96% . cảm thấy pin ko ổn rồi,['battery'],{'battery': 'Negative'}
r-58108735,0,Mới mua tại TGDD. NV nhiệt tình. Nhưng máy chán. Mới mà xạc đã bị nóng máy. Sim gọi k được toàn báo lỗi không xđ. Có ai bị giống Th của tui hok.,"['ser&acc', 'general', 'battery', 'features']","{'ser&acc': 'Positive', 'general': 'Negative', 'battery': 'Negative', 'features': 'Negative'}"
r-58107190,0,Máy tệ. Camera bị treo thường xuyên. Mang tới cữa hàng nhân viên bảo bị lỗi phần mềm chờ cập nhật lên ios là hết. Đem về cập nhật lên ios mới nhất vẫn bị. Bây giờ mà trả được là trả ngay và liện. Rất chi là bực.,"['camera', 'ser&acc', 'general']","{'camera': 'Negative', 'ser&acc': 'Negative', 'general': 'Negative'}"
r-57990235,0,Mới mua về loa bị ồm như bịt loa.sạc nóng đt nóng cục sạc.mang ra TGDD nhân viên nói bình thường.nếu vậy họ ta mang ra làm gì cho mất công mất việc.Thà mua điện thoại rẻ tiền cho đỡ tiếc.từ bỏ iPhone 16 ra tên sang nhưng rất tệ,"['features', 'battery', 'ser&acc', 'general']","{'features': 'Negative', 'battery': 'Negative', 'ser&acc': 'Negative', 'general': 'Negative'}"
r-57960947,0,Mất sóng liên tục,['others'],{'others': 'Negative'}
r-57868962,0,Chị mua iPhone 16 128g ngày 5/2/2025Sao trong phần bảo hành lại thấy là gói bảo hành đã hết hạn,['ser&acc'],{'ser&acc': 'Negative'}
r-57796096,0,18/1/2025 tôi có mua trả góp iphone 16 128GB tại 813ĐMMNANTHO 116 kim tân tại thái hòaMà số hợp đồng trả góp tôi nhập vào Momo để trả thì hệ thống báo là số hợp đồng không đúng. Tôi cần được hỗ trợ,['ser&acc'],{'ser&acc': 'Negative'}
r-58847291,0,Mình xem máy trên web và có mã giảm giá 10% đến lúc qua siêu thị đường hãi thượng lãng ông hỏi áp dụng giảm giá y như web phải không thì 2 bạn nhân viên nói đúng rồi. Nhưng khi thanh toán mình đưa mã giảm ra thì nói mã chỉ áp dụng online trên web không áp dụng mua trực tiếp,"['ser&acc', 'price']","{'ser&acc': 'Negative', 'price': 'Positive'}"
r-58835321,0,"Máy dùng tốt trong tầm giá, nhưng tìm máy tím khó. Phải đi mấy cửa hàng mới có","['general', 'others']","{'general': 'Positive', 'others': 'Negative'}"
r-58754526,0,Tốt máy đẹp,"['general', 'design']","{'general': 'Positive', 'design': 'Positive'}"
r-58766437,0,1. Mới mua hôm qua. Chạy cập nhật phần mềm mà máy nóng lắm. Pin sụt từ 100% xuống 95% trong vòng có 2 phút. Không biết máy có vấn đề gì không,"['battery', 'performance']","{'battery': 'Negative', 'performance': 'Negative'}"
r-58763715,0,Cảm giác rất vip.Mượt không tí gợnĐúng la max của đỉnh.Màn hình đẹp.Zoom xa hơi vỡ tí.,"['general', 'performance', 'screen', 'camera']","{'general': 'Positive', 'performance': 'Positive', 'screen': 'Positive', 'camera': 'Negative'}"
r-58760342,0,"mình thích con này được cái màn hình to 6.9 inch.nghe nhạc, xem video tuyệt vời luôn. có hỗ trợ sạc không dây...","['screen', 'features', 'general', 'battery']","{'screen': 'Positive', 'features': 'Positive', 'general': 'Positive', 'battery': 'Neutral'}"
r-58730395,0,Máy tốt nhưng chụo hình selfie quá xấu. mất thời gian dùng app để chỉnh sửa lại. Nên góp ý cho Samsung chỉnh lại điểm này nếu không sẽ thua những hãng khác về chụp ảnh selfie mặt trước màn hình,"['camera', 'general']","{'camera': 'Negative', 'general': 'Positive'}"
r-58639987,0,Cho em hỏi điện thoại Samsung S25 ultra em mua vào hồi tháng 3 vừa rồi. Nay em lắc điện thoại có hiện tượng kêu cặch cặch là sao vậy ạ. Em có mở cam lên tiếng hành lắc rồi mà nó cũng kêu ạ. Mong shop giải đáp giúp em với ạ. Em xin cảm ơn,"['camera', 'general']","{'camera': 'Negative', 'general': 'Neutral'}"
r-58622068,0,"Điện thoại rất đẹp,samsung cao cấp dùng sướng khỏi nói nhân viên nhiệt tình","['design', 'general', 'ser&acc']","{'design': 'Positive', 'general': 'Positive', 'ser&acc': 'Positive'}"
r-58523314,0,"Máy không tương thích vs ngân hàng msb ra kêu thì báo máy bình thường kêu do app msb nhưng các hãng khác vẫn dùng bình thường , mua phí tiền",['others'],{'others': 'Negative'}
r-58492347,0,Khung viền titan mau tróc sơn. Mới xài 12 ngày. Chưa gì mà trầy tè le. Tệ còn hơn tệ,"['design', 'general']","{'design': 'Negative', 'general': 'Negative'}"
