shop,model,product_url
thegioididong,Điện thoại Mobell M239 4G,https://www.thegioididong.com/dtdd/mobell-m239
thegioididong,Điện thoại Xiaomi Redmi 13x 6GB/128GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-13x-6gb-128gb
thegioididong,Điện thoại OPPO A60 8GB/256GB,https://www.thegioididong.com/dtdd/oppo-a60-256gb
thegioididong,Điện thoại Masstel Fami 50 4G,https://www.thegioididong.com/dtdd/masstel-fami-50
thegioididong,Điện thoại HONOR Play 10 3GB/64GB,https://www.thegioididong.com/dtdd/honor-play-10-3gb-64gb
thegioididong,Điện thoại realme Note 60x 4GB/64GB,https://www.thegioididong.com/dtdd/realme-note-60x-4gb?utm_flashsale=1
thegioididong,Điện thoại Masstel IZI 10,https://www.thegioididong.com/dtdd/masstel-izi-10
thegioididong,Điện thoại Samsung Galaxy A06 4GB/64GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb
thegioididong,Điện thoại Samsung Galaxy A16 5G 8GB/256GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g
thegioididong,Điện thoại iPhone 16 Plus 128GB,https://www.thegioididong.com/dtdd/iphone-16-plus
thegioididong,Điện thoại Benco 4G G3,https://www.thegioididong.com/dtdd/benco-4g-g3
thegioididong,Điện thoại Viettel Sumo 4G T2,https://www.thegioididong.com/dtdd/viettel-sumo-4g-t2
thegioididong,Điện thoại Mobell Rock 7,https://www.thegioididong.com/dtdd/mobell-rock-7
thegioididong,Điện thoại vivo V50 Lite 8GB/256GB,https://www.thegioididong.com/dtdd/vivo-v50-lite?utm_flashsale=1
thegioididong,Điện thoại Mobell F309 4G,https://www.thegioididong.com/dtdd/mobell-f309
thegioididong,Điện thoại HONOR X7c 8GB/256GB,https://www.thegioididong.com/dtdd/honor-x7c
thegioididong,Điện thoại realme C75 8GB/128GB,https://www.thegioididong.com/dtdd/realme-c75-8gb-128gb?utm_flashsale=1
thegioididong,Điện thoại Samsung Galaxy S25 Edge 5G 12GB/512GB,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-edge-5g-512gb
thegioididong,Điện thoại OPPO A5i 4GB/64GB,https://www.thegioididong.com/dtdd/oppo-a5i-4gb-64gb
thegioididong,Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-plus
thegioididong,Điện thoại OPPO Reno13 5G 12GB/256GB,https://www.thegioididong.com/dtdd/oppo-reno13-5g
thegioididong,Điện thoại Xiaomi 15 5G 12GB/512GB,https://www.thegioididong.com/dtdd/xiaomi-15
thegioididong,Điện thoại OPPO A3 8GB/128GB,https://www.thegioididong.com/dtdd/oppo-a3-8gb-128gb
thegioididong,Điện thoại vivo Y03 4GB/128GB,https://www.thegioididong.com/dtdd/vivo-y03?utm_flashsale=1
thegioididong,Điện thoại HONOR 400 Pro 5G 12GB/512GB,https://www.thegioididong.com/dtdd/honor-400-pro
thegioididong,Điện thoại realme Note 60 6GB/128GB,https://www.thegioididong.com/dtdd/realme-note-60?utm_flashsale=1
thegioididong,Điện thoại Samsung Galaxy A16 8GB/128GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb
thegioididong,Điện thoại Masstel Fami 60S 4G,https://www.thegioididong.com/dtdd/masstel-fami-60s
thegioididong,Điện thoại OPPO Find N3 5G 16GB/512GB,https://www.thegioididong.com/dtdd/oppo-find-n3
thegioididong,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB Trắng,https://www.thegioididong.com/dtdd/xiaomi-15-ultra-trang
thegioididong,Điện thoại OPPO Reno12 F 8GB/256GB,https://www.thegioididong.com/dtdd/oppo-reno12-f-4g-8gb-256gb
thegioididong,Điện thoại vivo V40 5G 12GB/256GB,https://www.thegioididong.com/dtdd/vivo-v40-5g
thegioididong,Điện thoại OPPO Find X8 5G 16GB/512GB Hồng,https://www.thegioididong.com/dtdd/oppo-find-x8-hong
thegioididong,Điện thoại OPPO Find N5 5G 16GB/512GB,https://www.thegioididong.com/dtdd/oppo-find-n5
thegioididong,Điện thoại OPPO A58 8GB/128GB,https://www.thegioididong.com/dtdd/oppo-a58-4g
thegioididong,Điện thoại vivo Y28 8GB/256GB,https://www.thegioididong.com/dtdd/vivo-y28-256gb
thegioididong,Điện thoại Xiaomi Redmi 13 8GB/128GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-13?utm_flashsale=1
thegioididong,Điện thoại OPPO Reno12 F 5G 12GB/256GB,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb
thegioididong,Điện thoại OPPO A3x 4GB/64GB,https://www.thegioididong.com/dtdd/oppo-a3x-4gb-64gb
thegioididong,Điện thoại HONOR X9d 5G 12GB/256GB,https://www.thegioididong.com/dtdd/honor-x9d-5g-12gb-256gb
thegioididong,Điện thoại HONOR X9d 5G 8GB/256GB,https://www.thegioididong.com/dtdd/honor-x9d-5g-8gb-256gb
thegioididong,Điện thoại HONOR X9d 5G 12GB/512GB,https://www.thegioididong.com/dtdd/honor-x9d-5g-12gb-512gb
thegioididong,Điện thoại Tecno Spark 40C 4GB/128GB,https://www.thegioididong.com/dtdd/tecno-spark-40c-4gb-128gb
thegioididong,"Laptop HP 15 fc0085AU - A6VV8PA (R5 7430U, 16GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa
thegioididong,Laptop MacBook Air 13 inch M4 16GB/256GB,https://www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-256gb
thegioididong,"Laptop Asus Vivobook Go 15 E1504FA - NJ776W (R5 7520U, 16GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w?utm_flashsale=1
thegioididong,"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000HVN (i5 13420H, 16GB, 512GB, WUXGA, Win11)",https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn
thegioididong,"Laptop Acer Aspire Lite 15 AL15 71P 517D - NX.J7KSV.001 (i5 12450H, 16GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-71p-517d-i5-nxj7ksv001
thegioididong,"Laptop Dell Inspiron 15 3530 - N5I5530W1 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5530w1
thegioididong,Laptop MacBook Pro 14 inch M5 16GB/512GB,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m5-16gb-512gb
thegioididong,"Laptop Lenovo Ideapad Slim 3 15AMN8 - 82XQ00J0VN (R5 7520U, 16GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn
thegioididong,"Laptop HP 240 G10 - B93GZAT (i5 1334U, 16GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/hp-240-g10-i5-b93gzat
thegioididong,"Laptop Asus Vivobook 15 X1504VA - NJ1634W (i3 1315U, 8GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i3-nj1634w?utm_flashsale=1
thegioididong,"Laptop Dell 15 DC15250 - DC5I7748W1 (i7 1355U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://www.thegioididong.com/laptop/dell-15-dc15250-i7-dc5i7748w1
thegioididong,"Laptop Acer Gaming Nitro V 15 ANV15 41 R1JY - NH.QPFSV.001 (R5 6600H, 16GB, 512GB, RTX 3050 6GB, Full HD 165Hz, Win11)",https://www.thegioididong.com/laptop/acer-nitro-v-15-anv15-41-r1jy-r5-nhqpfsv001
thegioididong,"Laptop MSI Gaming Thin 15 B13UCX - 2080VN (i5 13420H, 16GB, 512GB, RTX 2050 4GB, Full HD 144Hz, Win11)",https://www.thegioididong.com/laptop/msi-thin-15-b13ucx-i5-2080vn?utm_flashsale=1
thegioididong,Laptop MacBook Air 13 inch M2 16GB/256GB,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb-256gb?utm_flashsale=1
thegioididong,"Laptop Asus Gaming Vivobook K3605VC - RP364W (i5 13420H, 16GB, 512GB, RTX 3050 4GB, WUXGA 144Hz, Win11)",https://www.thegioididong.com/laptop/asus-k3605vc-i5-rp364w?utm_flashsale=1
thegioididong,"Laptop Dell Inspiron 15 3530 - 71070372 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-71070372
thegioididong,"Laptop HP 240 G10 - B73TJAT (i3 1315U, 8GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/hp-240-g10-i3-b73tjat
thegioididong,"Laptop Lenovo Ideapad Slim 3 16IRH10 - 83K20003VN (i5 13420H, 24GB, 512GB, WUXGA, Win11)",https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-16irh10-i5-83k20003vn
thegioididong,"Laptop Acer Aspire Go AG15 31P 30M4 - NX.KRPSV.004 (i3 N305, 8GB, 256GB, Full HD, Win11)",https://www.thegioididong.com/laptop/acer-aspire-go-ag15-31p-30m4-i3-nxkrpsv004
thegioididong,"Laptop MSI Modern 15 F13MG - 082VN (i5 1335U, 16GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/msi-modern-15-f13mg-i5-082vn
thegioididong,"Laptop HP 15 fc0655AU - C81NGPA (R5 7430U, 16GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/hp-15-fc0655au-r5-7430u-c81ngpa
thegioididong,"Laptop HP 245 G10 - B8PF9AT (R5 7530U, 8GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/hp-245-g10-r5-b8pf9at
thegioididong,"Laptop Dell Inspiron 15 3530 - N3530-i3U085W11SLU (i3 1305U, 8GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i3-1305u-n3530-i3u085w11slu
thegioididong,"Laptop Asus Vivobook 15 X1504VA - BQ185WS (Core 5 120U, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",https://www.thegioididong.com/laptop/asus-x1504va-core-5-bq185ws?utm_flashsale=1
thegioididong,"Laptop Acer Gaming Nitro V 15 ANV15 41 R2UP - NH.QPGSV.004 (R5 6600H, 16GB, 512GB, RTX 2050 4GB, Full HD 165Hz, Win11)",https://www.thegioididong.com/laptop/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004
thegioididong,"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000FVN (i7 13620H, 24GB, 512GB, WUXGA, Win11)",https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i7-83k1000fvn
thegioididong,Laptop MacBook Air 15 inch M4 16GB/256GB,https://www.thegioididong.com/laptop/macbook-air-15-inch-m4-16gb-256gb
thegioididong,"Laptop MSI Gaming Thin 15 B13UC - 3247VN_16GB (i5 13420H, 16GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",https://www.thegioididong.com/laptop/msi-gaming-thin-15-b13uc-i5-13420h-3247vn-16gb?utm_flashsale=1
thegioididong,"Laptop HP 15 fd0303TU - A2NL4PA (i3 1315U, 8GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/hp-15-fd0303tu-i3-a2nl4pa
thegioididong,"Laptop HP 15 fr0036TU - BZ7U2PA (i5 13420H, 16GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/hp-15-fr0036tu-i5-13420h-bz7u2pa
thegioididong,"Laptop Asus Vivobook 15 X1502VA - BQ986WS (i7 13620H, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",https://www.thegioididong.com/laptop/asus-x1502va-i7-bq986ws?utm_flashsale=1
thegioididong,"Laptop Asus Vivobook 14 X1404VA - EB155WS (Core 5 120U, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-core-5-eb155ws
thegioididong,"Laptop Dell 15 DC15255 - DC5R5802W1 (R5 7530U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://www.thegioididong.com/laptop/dell-15-dc15255-r5-7530u-dc5r5802w1
thegioididong,"Laptop Lenovo Gaming LOQ 15IAX9E - 83LK0079VN (i5 12450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",https://www.thegioididong.com/laptop/lenovo-loq-15iax9e-i5-83lk0079vn
thegioididong,"Laptop Acer Aspire Lite AL14 52M 54CJ - NX.J39SV.002 (i5 1334U, 16GB, 512GB, WUXGA, Win11)",https://www.thegioididong.com/laptop/acer-aspire-lite-al14-52m-54cj-i5-nxj39sv002
thegioididong,"Laptop Lenovo Gaming LOQ 15IRX9 - 83DV003CVN (i5 13450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",https://www.thegioididong.com/laptop/lenovo-loq-15irx9-i5-83dv003cvn
thegioididong,"Laptop MSI Modern 15 B12MO - 625VN (i5 1235U, 8GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-625vn
thegioididong,"Laptop HP 15 fd0234TU - 9Q969PA-120U (Core 5 120U, 16GB, 512GB, Full HD, Win11)",https://www.thegioididong.com/laptop/hp-15-fd0234tu-core-5-120u-9q969pa-120u
thegioididong,"Laptop Asus Vivobook 15 OLED A1505VA - MA515WS (i5 13420H, 16GB, 512GB, 2.8K OLED 120Hz, OfficeH24+365, Win11)",https://www.thegioididong.com/laptop/asus-vivobook-a1505va-i5-ma515ws
